,Best_score,Best_params,Imputation,Inclusion_type,Dim_Red,Estimator,Time
0,-1.1308333882096169,"OrderedDict([('estimator__fit_intercept', True), ('estimator__n_jobs', 1)])",None,baseline,None,lin,0.0
1,-0.998957139761216,"OrderedDict([('estimator__alpha', 0.9617037174551804), ('estimator__l1_ratio', 0.7949017373132644)])",None,baseline,None,elnet,0.0
2,-0.9894634625007287,"OrderedDict([('estimator__C', 1e-05), ('estimator__kernel', 'rbf')])",None,baseline,None,SVR,0.0
3,-1.0966588818002694,"OrderedDict([('estimator__max_depth', 2), ('estimator__n_estimators', 313), ('estimator__n_jobs', 2)])",None,baseline,None,RF,1.0
4,-1.0835880304864385,"OrderedDict([('estimator__n_jobs', 2), ('estimator__n_neighbors', 18)])",None,baseline,None,KNN,0.0
5,-1.0914661564521266,"OrderedDict([('estimator__eta', 0.010128830167958751), ('estimator__max_depth', 2), ('estimator__n_estimators', 57), ('estimator__n_jobs', 2), ('estimator__reg_alpha', 1.0), ('estimator__reg_lambda', 1.0)])",None,baseline,None,XGB,2.0
6,-0.9939403802820564,"OrderedDict([('estimator__depth', 12), ('estimator__learning_rate', 0.061151638645950385), ('estimator__n_estimators', 5), ('estimator__thread_count', 2), ('estimator__verbose', False)])",None,baseline,None,CatB,1.0
7,-1.0887036567782897,"OrderedDict([('estimator__fit_intercept', True), ('estimator__n_jobs', 1)])",None,baseline,RF_imp,lin,0.0
8,-0.9839915260429901,"OrderedDict([('estimator__alpha', 0.8439240072143458), ('estimator__l1_ratio', 0.9240590914055687)])",None,baseline,RF_imp,elnet,0.0
9,-0.9848716268356126,"OrderedDict([('estimator__C', 1e-05), ('estimator__kernel', 'poly')])",None,baseline,RF_imp,SVR,0.0
10,-1.0428108781606817,"OrderedDict([('estimator__max_depth', 2), ('estimator__n_estimators', 5), ('estimator__n_jobs', 2)])",None,baseline,RF_imp,RF,1.0
11,-1.0385382285403484,"OrderedDict([('estimator__n_jobs', 2), ('estimator__n_neighbors', 15)])",None,baseline,RF_imp,KNN,0.0
12,-1.0730487424942186,"OrderedDict([('estimator__eta', 0.29999999999999993), ('estimator__max_depth', 2), ('estimator__n_estimators', 5), ('estimator__n_jobs', 2), ('estimator__reg_alpha', 2.9243651673214345e-05), ('estimator__reg_lambda', 1.0)])",None,baseline,RF_imp,XGB,1.0
13,-1.0002524175485814,"OrderedDict([('estimator__depth', 2), ('estimator__learning_rate', 0.01), ('estimator__n_estimators', 5), ('estimator__thread_count', 2), ('estimator__verbose', False)])",None,baseline,RF_imp,CatB,1.0
14,-1.0247946009996778,"OrderedDict([('estimator__fit_intercept', True), ('estimator__n_jobs', 1)])",None,baseline,f_perc,lin,0.0
